
****************************************

  MemTrackerLog 

       Nov 15 2024  
       01:56:46  

****************************************

External Libs: 

Leak(0)  4 bytes ref:162 
Leak(1)  24 bytes ref:163 
Leak(2)  4 bytes ref:164 
Leak(3)  24 bytes ref:165 
Leak(4)  8 bytes ref:166 
Leak(5)  4 bytes ref:167 
Leak(6)  8 bytes ref:168 
Leak(7)  4 bytes ref:169 
Leak(8)  8 bytes ref:170 
Leak(9)  24 bytes ref:172 
Leak(10)  32 bytes ref:173 
Leak(11)  8 bytes ref:174 
Leak(12)  24 bytes ref:175 
Leak(13)  24 bytes ref:176 
Leak(14)  24 bytes ref:177 
Leak(15)  24 bytes ref:178 
Leak(16)  24 bytes ref:179 
Leak(17)  20 bytes ref:180 
Leak(18)  8 bytes ref:181 
Leak(19)  32 bytes ref:182 
Leak(20)  8 bytes ref:183 
Leak(21)  24 bytes ref:184 
Leak(22)  24 bytes ref:186 
Leak(23)  8 bytes ref:187 
Leak(24)  8 bytes ref:188 
Leak(25)  48 bytes ref:211 
Leak(26)  32 bytes ref:215 
Leak(27)  32 bytes ref:220 
Leak(28)  48 bytes ref:226 
Leak(29)  32 bytes ref:233 
Leak(30)  32 bytes ref:241 
Leak(31)  32 bytes ref:244 
Leak(32)  32 bytes ref:254 
Leak(33)  32 bytes ref:257 
Leak(34)  32 bytes ref:260 
Leak(35)  32 bytes ref:273 
Leak(36)  32 bytes ref:276 
Leak(37)  32 bytes ref:281 
Leak(38)  32 bytes ref:298 
Leak(39)  32 bytes ref:301 
Leak(40)  32 bytes ref:304 
Leak(41)  32 bytes ref:307 
Leak(42)  48 bytes ref:310 
Leak(43)  32 bytes ref:313 
Leak(44)  48 bytes ref:336 
Leak(45)  32 bytes ref:339 
Leak(46)  32 bytes ref:342 
Leak(47)  32 bytes ref:345 
Leak(48)  32 bytes ref:348 
Leak(49)  32 bytes ref:351 
Leak(50)  32 bytes ref:354 
Leak(51)  32 bytes ref:357 
Leak(52)  32 bytes ref:360 
Leak(53)  32 bytes ref:392 
Leak(54)  32 bytes ref:395 
Leak(55)  32 bytes ref:398 
Leak(56)  32 bytes ref:401 
Leak(57)  48 bytes ref:404 
Leak(58)  32 bytes ref:407 
Leak(59)  32 bytes ref:410 
Leak(60)  32 bytes ref:413 
Leak(61)  32 bytes ref:416 
Leak(62)  48 bytes ref:419 
Leak(63)  48 bytes ref:422 
Leak(64)  32 bytes ref:425 
Leak(65)  32 bytes ref:428 
Leak(66)  32 bytes ref:431 
Leak(67)  32 bytes ref:477 
Leak(68)  48 bytes ref:480 
Leak(69)  48 bytes ref:483 
Leak(70)  32 bytes ref:486 
Leak(71)  32 bytes ref:489 
Leak(72)  32 bytes ref:492 
Leak(73)  32 bytes ref:495 
Leak(74)  32 bytes ref:498 
Leak(75)  32 bytes ref:503 
Leak(76)  32 bytes ref:506 
Leak(77)  32 bytes ref:509 
Leak(78)  32 bytes ref:512 
Leak(79)  32 bytes ref:515 
Leak(80)  32 bytes ref:518 
Leak(81)  32 bytes ref:521 
Leak(82)  32 bytes ref:524 
Leak(83)  32 bytes ref:527 
Leak(84)  32 bytes ref:530 
Leak(85)  32 bytes ref:533 
Leak(86)  32 bytes ref:536 
Leak(87)  32 bytes ref:603 
Leak(88)  32 bytes ref:606 
Leak(89)  32 bytes ref:609 
Leak(90)  32 bytes ref:612 
Leak(91)  32 bytes ref:615 
Leak(92)  48 bytes ref:618 
Leak(93)  32 bytes ref:621 
Leak(94)  32 bytes ref:624 
Leak(95)  32 bytes ref:627 
Leak(96)  32 bytes ref:630 
Leak(97)  32 bytes ref:633 
Leak(98)  32 bytes ref:636 
Leak(99)  32 bytes ref:639 
Leak(100)  32 bytes ref:642 
Leak(101)  48 bytes ref:645 
Leak(102)  32 bytes ref:648 
Leak(103)  32 bytes ref:651 
Leak(104)  32 bytes ref:654 
Leak(105)  32 bytes ref:657 
Leak(106)  32 bytes ref:660 
Leak(107)  48 bytes ref:663 
Leak(108)  32 bytes ref:666 
Leak(109)  48 bytes ref:669 
Leak(110)  32 bytes ref:672 
Leak(111)  32 bytes ref:675 
Leak(112)  32 bytes ref:678 
Leak(113)  32 bytes ref:681 
Leak(114)  32 bytes ref:684 
Leak(115)  32 bytes ref:687 
Leak(116)  32 bytes ref:690 
Leak(117)  32 bytes ref:693 
Leak(118)  32 bytes ref:791 
Leak(119)  48 bytes ref:794 
Leak(120)  32 bytes ref:797 
Leak(121)  48 bytes ref:800 
Leak(122)  32 bytes ref:803 
Leak(123)  32 bytes ref:806 
Leak(124)  32 bytes ref:809 
Leak(125)  32 bytes ref:814 
Leak(126)  32 bytes ref:817 
Leak(127)  32 bytes ref:822 
Leak(128)  32 bytes ref:825 
Leak(129)  32 bytes ref:828 
Leak(130)  32 bytes ref:831 
Leak(131)  48 bytes ref:834 
Leak(132)  32 bytes ref:837 
Leak(133)  32 bytes ref:840 
Leak(134)  32 bytes ref:843 
Leak(135)  32 bytes ref:846 
Leak(136)  32 bytes ref:849 
Leak(137)  32 bytes ref:852 
Leak(138)  32 bytes ref:855 
Leak(139)  32 bytes ref:858 
Leak(140)  32 bytes ref:861 
Leak(141)  32 bytes ref:864 
Leak(142)  48 bytes ref:867 
Leak(143)  32 bytes ref:870 
Leak(144)  32 bytes ref:873 
Leak(145)  48 bytes ref:876 
Leak(146)  32 bytes ref:879 
Leak(147)  32 bytes ref:882 
Leak(148)  32 bytes ref:885 
Leak(149)  32 bytes ref:888 
Leak(150)  32 bytes ref:891 
Leak(151)  32 bytes ref:894 
Leak(152)  32 bytes ref:897 
Leak(153)  32 bytes ref:900 
Leak(154)  32 bytes ref:903 
Leak(155)  32 bytes ref:906 
Leak(156)  48 bytes ref:909 
Leak(157)  32 bytes ref:912 
Leak(158)  32 bytes ref:915 
Leak(159)  32 bytes ref:918 
Leak(160)  32 bytes ref:921 
Leak(161)  32 bytes ref:924 
Leak(162)  48 bytes ref:927 
Leak(163)  48 bytes ref:1072 
Leak(164)  32 bytes ref:1075 
Leak(165)  32 bytes ref:1078 
Leak(166)  32 bytes ref:1081 
Leak(167)  32 bytes ref:1084 
Leak(168)  32 bytes ref:1087 
Leak(169)  32 bytes ref:1090 
Leak(170)  32 bytes ref:1093 
Leak(171)  32 bytes ref:1096 
Leak(172)  32 bytes ref:1099 
Leak(173)  48 bytes ref:1102 
Leak(174)  48 bytes ref:1105 
Leak(175)  32 bytes ref:1108 
Leak(176)  32 bytes ref:1111 
Leak(177)  32 bytes ref:1114 
Leak(178)  32 bytes ref:1121 
Leak(179)  32 bytes ref:1124 
Leak(180)  32 bytes ref:1127 
Leak(181)  32 bytes ref:1130 
Leak(182)  32 bytes ref:1133 
Leak(183)  32 bytes ref:1136 
Leak(184)  32 bytes ref:1139 
Leak(185)  32 bytes ref:1142 
Leak(186)  32 bytes ref:1145 
Leak(187)  32 bytes ref:1148 
Leak(188)  32 bytes ref:1151 
Leak(189)  32 bytes ref:1154 
Leak(190)  32 bytes ref:1157 
Leak(191)  32 bytes ref:1160 
Leak(192)  32 bytes ref:1163 
Leak(193)  32 bytes ref:1166 
Leak(194)  32 bytes ref:1169 
Leak(195)  32 bytes ref:1172 
Leak(196)  32 bytes ref:1175 
Leak(197)  32 bytes ref:1178 
Leak(198)  32 bytes ref:1181 
Leak(199)  32 bytes ref:1184 
Leak(200)  32 bytes ref:1187 
Leak(201)  32 bytes ref:1190 
Leak(202)  32 bytes ref:1193 
Leak(203)  32 bytes ref:1196 
Leak(204)  32 bytes ref:1199 
Leak(205)  32 bytes ref:1202 
Leak(206)  32 bytes ref:1205 
Leak(207)  32 bytes ref:1208 
Leak(208)  32 bytes ref:1211 
Leak(209)  32 bytes ref:1214 
Leak(210)  32 bytes ref:1217 
Leak(211)  32 bytes ref:1220 
Leak(212)  32 bytes ref:1223 
Leak(213)  32 bytes ref:1226 
Leak(214)  32 bytes ref:1229 
Leak(215)  32 bytes ref:1232 
Leak(216)  32 bytes ref:1235 
Leak(217)  32 bytes ref:1238 
Leak(218)  32 bytes ref:1241 
